SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
高雄(左營),高雄市,102,細懸浮微粒,對敏感族群不健康,1.1,0.48,0.5,8.2,25,65,31,16,17,0.9,0.3,65,2019-12-19 01:00,36,72,2,120.316744,22.691622,313
桃園(觀音工業區),桃園市,33,,良好,-0.1,0.48,0.5,28,28,21,10,4,4.1,0.1,2.8,59,2019-12-19 01:00,10,23,1,121.128044,25.063039,312
高雄(楠梓),高雄市,105,細懸浮微粒,對敏感族群不健康,2.2,0.56,0.6,7.9,18,61,36,18,19,1.1,0.6,67,2019-12-19 01:00,37,73,2,120.300819,22.718297,310
楠梓加工出口區,高雄市,105,細懸浮微粒,對敏感族群不健康,2.2,0.56,0.6,7.9,18,61,36,18,19,1.1,0.6,67,2019-12-19 01:00,37,73,2,120.300819,22.718297,310
屏東(琉球),屏東縣,98,細懸浮微粒,普通,2.4,0.66,0.5,4.8,36,72,36,32,33,1.1,1.2,316,2019-12-19 01:00,35,73,2,120.377222,22.352222,204
新北(樹林),新北市,21,,良好,3,0.61,0.7,25,23,6,3,12,13,0.9,1.5,137,2019-12-19 01:00,4,8,3,121.383528,24.949028,203
彰化(大城),彰化縣,42,,良好,2.3,0.43,0.4,29,35,18,11,6.2,6.9,0.7,3.8,42,2019-12-19 01:00,13,26,2,120.273117,23.843139,202
臺南(麻豆),臺南市,70,細懸浮微粒,普通,2.3,0.17,0.1,11,25,50,21,15,16,0.7,1.2,19,2019-12-19 01:00,23,55,2,120.245831,23.179047,201
富貴角,新北市,36,,良好,-0.2,0.44,0.5,39,39,25,9,2.5,2.4,-0.1,7.6,76,2019-12-19 01:00,9,23,0,121.536763,25.298562,84
麥寮,雲林縣,49,,良好,2,0.52,0.5,23,29,31,11,4.8,5.9,1.1,3.9,37,2019-12-19 01:00,15,37,2,120.251825,23.753506,83
關山,臺東縣,25,,良好,1.6,-,,11,22,11,9,4.5,5.1,0.6,0.5,349,2019-12-19 01:00,8,11,2,121.161933,23.045083,80
馬公,澎湖縣,43,,良好,1.1,0.53,0.5,39,41,22,14,2.6,3.3,0.8,4.8,20,2019-12-19 01:00,13,26,1,119.566158,23.569031,78
金門,金門縣,80,細懸浮微粒,普通,2,0.69,0.7,28,27,39,29,11,11,0,3.6,59,2019-12-19 01:00,27,42,4,118.312256,24.432133,77
馬祖,連江縣,70,細懸浮微粒,普通,2,0.31,0.5,22,27,27,23,6.5,8.3,1.7,2.7,335,2019-12-19 01:00,23,32,2,119.949875,26.160469,75
埔里,南投縣,70,細懸浮微粒,普通,5,0.42,0.4,17,28,34,21,16,18,1.8,1.6,134,2019-12-19 01:00,23,40,2,120.967903,23.968842,72
復興,高雄市,103,細懸浮微粒,對敏感族群不健康,2.3,0.61,0.8,9.5,21,70,35,21,24,3.2,1,115,2019-12-19 01:00,36,73,2,120.312017,22.608711,71
