日期,西德州(美元/桶),杜拜(美元/桶),布蘭特(美元/桶)
2022/11/3,88.09,88.03,95.21
2022/11/2,90.01,90.44,96.16
2022/11/1,88.31,90.73,95.35
2022/10/31,86.49,88.77,93.53
2022/10/28,87.80,92.51,95.18
2022/10/27,89.01,93.31,95.11
2022/10/26,89.29,93.50,93.30
2022/10/25,86.83,90.49,91.36
2022/10/24,85.92,90.83,91.81
2022/10/21,85.32,90.97,91.95
2022/10/20,85.87,90.02,91.93
2022/10/19,85.85,88.74,91.77
2022/10/18,83.14,87.16,89.58
2022/10/17,85.85,88.97,91.34
2022/10/14,85.95,89.45,91.99
2022/10/13,89.44,92.38,95.35
2022/10/12,87.68,90.51,92.77
2022/10/11,89.60,92.08,94.68
2022/10/10,91.45,94.65,96.98
2022/10/7,92.92,96.67,99.51
2022/10/6,88.75,93.85,96.08
2022/10/5,88.07,92.26,94.76
2022/10/4,86.72,90.21,93.77
2022/10/3,83.90,87.08,90.59
2022/9/30,79.76,86.89,88.89
2022/9/29,81.63,88.93,89.61
2022/9/28,82.46,88.65,89.47
2022/9/27,78.76,85.69,85.44
2022/9/26,77.02,83.85,82.49
2022/9/23,78.97,86.49,84.83
2022/9/22,83.92,90.87,90.38
2022/9/21,83.28,89.83,90.05
2022/9/20,84.59,90.51,89.87
2022/9/19,86.05,91.17,N/A
2022/9/16,85.47,91.15,89.69
2022/9/15,85.62,89.89,89.10
2022/9/14,88.78,92.91,93.41
2022/9/13,87.74,91.81,92.34
2022/9/12,88.08,92.93,93.65
2022/9/9,87.17,91.46,91.30
2022/9/8,83.94,87.13,87.49
2022/9/7,82.40,86.54,86.49
2022/9/6,87.25,91.68,91.41
2022/9/5,N/A,93.89,94.21
2022/9/2,87.19,90.94,93.35
2022/9/1,86.99,90.18,92.04
2022/8/31,89.99,91.92,96.54
2022/8/30,91.98,99.76,100.10
2022/8/29,97.30,104.25,N/A
2022/8/26,93.53,100.12,100.64
2022/8/25,93.23,99.54,99.22
2022/8/24,95.32,100.37,100.34
2022/8/23,96.21,98.62,99.47
2022/8/22,93.17,95.54,95.29
2022/8/19,93.30,95.46,95.86
2022/8/18,92.95,94.79,96.37
2022/8/17,90.60,90.71,96.57
2022/8/16,88.98,90.12,95.85
2022/8/15,91.99,91.77,96.56
2022/8/12,94.61,95.42,103.53
2022/8/11,96.77,96.63,107.10
2022/8/10,94.43,94.60,104.68
2022/8/9,92.93,93.59,104.08
2022/8/8,93.27,93.72,103.40
2022/8/5,91.52,91.87,100.11
2022/8/4,91.04,90.16,97.48
2022/8/3,93.00,93.95,102.30
2022/8/2,96.89,96.44,105.00
2022/8/1,96.34,96.92,105.97
2022/7/29,101.06,104.36,111.50
2022/7/28,98.86,102.94,110.46
2022/7/27,99.78,102.90,110.63
2022/7/26,97.49,100.43,107.69
2022/7/25,99.33,100.23,107.88
2022/7/22,97.61,99.08,107.20
2022/7/21,98.24,99.85,112.69
2022/7/20,104.25,101.93,115.41
2022/7/19,105.92,102.36,114.92
2022/7/18,104.28,101.56,116.67
2022/7/15,99.39,97.13,112.20
2022/7/14,97.59,94.54,108.42
2022/7/13,98.24,94.71,107.17
2022/7/12,97.49,94.35,106.98
2022/7/11,105.89,N/A,114.12
2022/7/8,106.58,101.90,114.05
2022/7/7,104.42,99.14,112.74
2022/7/6,100.11,94.50,107.89
2022/7/5,101.35,99.71,112.37
2022/7/4,N/A,108.25,121.79
2022/7/1,110.10,105.93,119.11
2022/6/30,107.56,108.76,119.77
2022/6/29,111.45,111.18,120.47
2022/6/28,113.46,112.98,122.26
2022/6/27,111.24,110.51,120.30
2022/6/24,108.97,107.96,117.45
2022/6/23,105.65,104.56,114.09
2022/6/22,106.17,104.72,113.93
2022/6/21,110.44,109.47,118.82
2022/6/20,110.22,109.29,118.24
2022/6/17,109.51,108.04,119.79
2022/6/16,117.51,114.12,125.02
2022/6/15,115.27,113.97,125.53
2022/6/14,118.87,113.74,127.92
