sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,,,,,,,,,,,,,,,"2022/12/22 01:00:00",,,,,121.760056,25.129167,1
汐止,新北市,45,,良好,1.2,0.28,7.8,17.3,26,10,20.1,24.2,4.1,0.3,12,"2022/12/22 01:00:00",0.3,13,28,1,121.6423,25.067131,2
萬里,新北市,49,,良好,1.2,0.19,27.1,42.2,30,14,2.6,3.4,0.8,2.9,211,"2022/12/22 01:00:00",0.1,13,49,1,121.689881,25.179667,3
新店,新北市,36,,良好,0.9,0.22,25.4,19.5,21,12,7,8.1,1,1.4,156,"2022/12/22 01:00:00",0.3,11,21,0,121.537778,24.977222,4
土城,新北市,43,,良好,0.8,0.4,7.5,10.7,28,14,26.7,30.5,3.8,0.8,62,"2022/12/22 01:00:00",0.4,12,27,1,121.451861,24.982528,5
板橋,新北市,56,細懸浮微粒,普通,1.4,1.09,0.2,9.4,37,22,33.6,63.7,30.1,0.4,277,"2022/12/22 01:00:00",0.7,17,30,1,121.458667,25.012972,6
新莊,新北市,54,細懸浮微粒,普通,0.9,0.89,0.6,8.3,33,15,30.3,48,17.6,0.2,316,"2022/12/22 01:00:00",0.6,16,34,1,121.4325,25.037972,7
菜寮,新北市,55,細懸浮微粒,普通,0.9,0.55,8.2,10.4,25,15,27,29.6,2.6,1.2,117,"2022/12/22 01:00:00",0.6,17,26,1,121.481028,25.06895,8
林口,新北市,46,,良好,0.9,0.38,27.8,30,32,17,19.4,20.3,0.9,0.3,123,"2022/12/22 01:00:00",0.3,14,32,1,121.36548982,25.07798949,9
淡水,新北市,43,,良好,0.5,0.28,23.4,23.7,24,13,9.9,11,1.1,,,"2022/12/22 01:00:00",0.3,13,23,0,121.449239,25.1645,10
士林,臺北市,45,,良好,1,0.35,23,13.5,27,14,13.4,13.7,0.3,1.2,140,"2022/12/22 01:00:00",0.5,13,25,1,121.51666356,25.10334003,11
